feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40
-0.31913,-0.01744,-0.09281,0.03695,-0.04538,0.24511,-0.16483,-0.09763,-0.06621,0.05141,-0.00124,0.15467,0.3226,0.08446,0.14619,0.04975,-0.1992,0.08192,0.0618,-0.11969,0.02624,0.37481,0.24866,0.59506,0.5069,0.67347,0.89976,0.76913,0.98915,1.33984,0.30467,0.21023,0.88065,0.80321,0.96179,1.50897,0.91293,1.14287,1.52256,1.69237
0.49647,0.76043,0.37351,0.96094,0.76903,1.36603,1.06624,1.41617,1.33279,2.09796,0.23866,0.28313,0.26912,0.24573,0.32172,0.58385,0.08539,0.29679,0.67673,0.63224,0.06212,-0.42221,-0.069,-0.14194,-0.0878,0.21989,-0.2761,-0.11939,-0.19488,-0.03188,0.31983,-0.19564,0.04179,0.2747,-0.11351,0.31785,-0.12616,0.29253,0.14833,0.36368
0.39014,0.42513,0.47089,0.63181,0.60722,0.87208,0.87897,0.95153,1.02037,1.11096,0.57696,0.11178,0.3989,0.53635,0.73901,0.70387,0.68646,1.26189,1.07229,1.27836,0.12682,-0.02046,-0.09118,0.19801,0.27552,0.02341,-0.07338,0.25297,0.32651,0.41905,0.17685,-0.25556,0.23984,0.46701,0.15939,0.00955,0.03196,-0.01738,0.20815,0.56166
0.43605,0.02269,0.09152,0.27511,0.24996,-0.14692,0.3812,0.33857,0.69069,0.07405,0.47017,0.55745,0.65253,0.25821,0.7034,1.41841,0.70271,1.37054,1.42061,1.34816,0.35696,0.23884,0.44317,0.6047,0.51632,0.26215,0.55684,0.73812,0.54271,0.70995,-0.04936,-0.16924,0.04528,0.1292,-0.01339,0.83651,0.11052,0.75837,0.29302,0.62795
0.20707,0.10269,-0.41685,-0.01549,-0.113,-0.09382,-0.31507,-0.4826,0.10259,0.34047,-0.25849,-0.20637,-0.02849,-0.25627,0.14771,0.16207,0.09743,0.488,0.30104,0.26272,0.20212,0.32416,0.49045,0.12124,0.35804,0.67249,0.58757,0.64111,1.24869,1.44212,0.84406,0.41647,0.7044,0.91598,1.22704,1.12432,1.22075,1.15149,1.39036,1.42272
0.3999,0.56805,0.58039,0.89867,0.42088,1.13974,0.94907,1.17411,1.31214,1.39059,0.23995,0.03224,-0.26362,0.12352,0.19094,-0.12115,-0.04553,0.24391,0.44992,0.41376,-0.23122,0.07859,0.29996,0.02649,-0.06202,0.09837,0.34204,-0.3252,-0.33238,-0.10242,0.02072,0.00245,0.07725,-0.06236,0.01596,-0.16893,0.39464,0.0609,0.24829,0.06236
-0.0163,0.07718,0.01454,-0.1041,0.33221,-0.20329,0.15239,-0.39996,-0.02624,0.04007,0.40648,-0.10774,0.0579,-0.21876,-0.11396,0.12615,-0.25744,-0.07664,-0.09708,0.26269,0.45117,0.75193,0.33976,0.70049,0.75804,0.43115,0.69204,1.09667,1.07012,1.05163,0.56479,0.65166,0.6439,0.77487,1.09457,1.2319,1.3574600000000001,1.5392,1.34077,1.88381
0.12128,0.20105,0.33618,-0.17494,0.37468,-0.01353,-0.44346,-0.13373,0.19889,-0.15245,0.08405,-0.12621,0.30341,-0.18199,0.0785,-0.02421,-0.03236,0.10757,-0.60657,0.35791,0.50614,0.11256,0.64857,0.50642,0.51659,0.4318,0.72692,0.71641,1.11327,1.06825,0.2875,0.73463,0.81245,1.13209,0.99324,1.13834,1.22888,1.59323,1.54588,1.72731
-0.1583,-0.03162,-0.19141,-0.08262,-0.40028,-0.07735,0.02939,0.04328,-0.0881,0.00676,0.5651,0.21768,0.57129,0.53978,0.68699,0.66744,0.72605,0.74409,0.90308,0.92573,0.63286,0.49727,0.50349,0.53228,0.6191,0.34773,0.91983,1.44812,1.30772,1.30686,-0.06422,0.51604,0.72359,0.5104,0.01532,0.85515,0.49973,0.77462,0.6707,0.70158
0.05118,-0.00734,0.53075,0.33842,-0.20003,0.23537,-0.08968,0.03942,-0.18487,0.02738,0.14747,0.66745,0.72304,0.26621,0.73678,1.02197,0.96567,0.42508,1.2173,0.91518,0.0522,0.27836,0.01018,0.54952,1.03867,0.85674,1.07687,1.1317,1.22038,1.12506,-0.02164,0.30682,0.26778,0.25461,0.52467,0.56727,0.43467,0.5801,0.5116,0.76793
0.28199,0.24115,0.60338,0.36019,0.35606,0.57397,0.89389,0.64545,0.81273,0.68472,-0.05552,-0.05657,-0.03967,-1.6e-4,-0.10409,-0.07396,0.196,0.31262,0.43446,0.12882,-0.09951,-0.41553,-0.13022,0.18479,-0.24126,0.17496,-0.3275,0.06102,0.26938,-0.11864,-0.01344,0.04169,-0.06072,-0.02729,-0.12959,-0.04141,-0.15054,-0.2107,0.14695,0.3815
0.49636,0.72954,0.62985,0.68578,1.06179,1.0142,1.25587,1.1879,1.22182,1.49619,0.11401,0.03278,0.17806,-0.11877,0.0371,0.50678,0.03252,0.0744,0.53672,0.19104,0.28501,-0.06158,-0.35336,-0.06376,0.04924,0.01924,2e-5,0.24863,0.11917,-0.22094,-0.10164,0.01832,0.01519,0.13114,-0.04644,0.21388,0.14066,0.60634,0.21787,0.42206
0.13612,0.87404,0.52881,0.88152,0.96357,1.31154,0.98883,1.11435,1.44004,1.13624,0.27049,0.27043,0.12969,-0.22924,-0.33736,0.14653,-0.00242,-0.22427,0.21698,0.19143,-0.21999,0.0889,0.07139,0.20952,-0.11789,-0.0075,-0.13799,-0.06323,-0.07837,0.11281,-0.17885,0.06535,0.22293,0.23702,0.04961,0.01042,-0.04197,0.04309,-0.18308,-0.21166
0.30532,0.21003,0.10013,-0.0314,-0.29394,0.13224,0.00342,0.18506,0.31305,-0.13465,0.24507,0.1748,0.21617,0.48912,0.45679,0.58824,0.61667,0.82193,0.7151,0.60189,0.64909,0.40449,0.54292,0.42534,0.54538,1.5212,1.073,1.18495,1.409,1.52992,0.2745,0.41578,0.33295,0.72592,0.60771,0.27078,0.35497,0.66007,0.81784,0.65517
0.42981,0.59353,0.73542,1.08298,0.58895,0.67933,0.57675,1.08539,1.13396,1.10465,0.13101,0.29906,0.51512,0.73506,0.75466,1.08942,0.8106,1.15223,0.88064,1.1553,0.15262,0.07724,0.1751,0.26309,0.18967,0.19249,0.04442,0.16074,0.09737,0.42794,0.10921,0.62022,0.32615,0.18359,0.26434,0.06925,0.38993,0.18281,0.60811,0.0066
0.50451,0.35789,0.29136,0.12684,0.20682,0.04022,-0.49939,-0.13514,-0.1366,0.26697,-0.21812,-0.06899,0.45396,0.33692,0.10119,0.2482,0.47942,0.27813,0.5216,0.47531,0.21903,0.58537,0.77614,0.77853000000000006,1.16671,0.8693,1.23786,1.26974,1.33114,2.0155,0.43731,0.33839,0.61495,0.98425,0.9379,0.87088,0.63442,0.82045,1.0988,1.31696
-0.24544,0.06242,0.25614,0.6119,0.34394,0.55963,0.64279,0.74273,0.4376,0.12258,0.40493,0.61073,0.71191,0.76812,1.04795,1.19656,1.15635,1.50867,1.39331,1.6024,0.28889,0.11994,0.31142,0.62386,0.27274,0.42223,0.4218,0.24472,0.4499,0.44404,-0.01617,0.77215,0.18723,0.08125,0.26609,0.25511,0.47575,0.35798,0.36843,0.43145
-0.11015,-0.28364,-0.14494,0.1233,0.08452,0.24683,-0.22862,0.21798,-0.12958,-0.0679,0.44735,0.27918,0.17409,0.17584,0.62655,0.66924,0.69371,0.47008,0.7114,0.65532,0.65979,0.67593,0.72451,1.16362,0.79367,0.82849,1.17878,1.15604,1.37243,0.96287,0.02573,0.4309,0.72524,0.64063,0.49971,0.82715,0.61573,0.96378,0.64279,1.12094
-0.34288,-0.22205,0.21927,-0.34743,0.03714,0.08928,-0.086,0.33669,0.04799,-0.2404,0.26601,-0.03053,-0.19943,-0.1294,0.21339,0.45989,0.02184,0.00514,-0.09166,-0.22268,0.52089,0.01388,0.36158,0.19543,0.28171,0.39503,0.34221,0.43123,0.57699,0.79522,0.32722,0.73986,0.49436,0.94834,0.58156,1.4444,1.36704,1.618,1.62592,1.84862
